,geoid,NAME,min_max_ex,min_max_sens,min_max_ac,vul_score_mulpi,vul_score_add
326,36005031200,"Census Tract 312, Bronx County, New York",0.017719434,0.518818407,0.394358143,0.0022053653892057,0.1421796973513864
327,36005031400,"Census Tract 314, Bronx County, New York",0.018863747,0.468548731,0.377327636,0.0017207716315379,0.1100848420517386
328,36005033000,"Census Tract 330, Bronx County, New York",0.065620349,0.497729927,0.439250125,0.0038374650403781,0.1241001514004372
329,36005036000,"Census Tract 360, Bronx County, New York",0.022391126,0.567696592,0.370640955,0.0044122975951703,0.2194467637061839
330,36005036502,"Census Tract 365.02, Bronx County, New York",0.086006743,0.642307618,0.217022352,0.0365774006881653,0.5112920093212158
331,36005036800,"Census Tract 368, Bronx County, New York",0.048999337,0.676621092,0.311159704,0.0179073657133861,0.4144607257278029
332,36005037000,"Census Tract 370, Bronx County, New York",0.036571928,0.674994517,0.308291054,0.0134110526614502,0.4032753907322728
333,36005037200,"Census Tract 372, Bronx County, New York",0.063228096,0.597311932,0.311729888,0.0180568090062963,0.3488101408981683
334,36005039200,"Census Tract 392, Bronx County, New York",0.048862543,0.608585181,0.416805185,0.009370858225251,0.2406425387302012
335,36005039400,"Census Tract 394, Bronx County, New York",0.052310002,0.6193707,0.386125197,0.0122010727260059,0.2855555051728877
336,36005039600,"Census Tract 396, Bronx County, New York",0.05750338,0.67900755,0.350412125,0.0188953475373382,0.3860988041749867
337,36005039800,"Census Tract 398, Bronx County, New York",0.023705737,0.645861891,,0.0153106320326404,0.6695676275881722
338,36005040100,"Census Tract 401, Bronx County, New York",0.071577465,0.602621649,0.460982552,0.0101381674804108,0.2132165616597654
339,36005040303,"Census Tract 403.03, Bronx County, New York",0.071507141,0.536810182,0.417057708,0.0085631570043992,0.1912596143815581
340,36005040304,"Census Tract 403.04, Bronx County, New York",0.10764422,0.549132382,0.453624929,0.0102808252679267,0.2031516728498714
341,36005040400,"Census Tract 404, Bronx County, New York",0.023970654,0.571024763,,0.0136878369878268,0.5949954166096996
342,36005040501,"Census Tract 405.01, Bronx County, New York",0.069532863,0.614505755,0.391300905,0.0155200723897736,0.2927377138831264
